msisdn,offerId,price,validity,On-net Mins,Off-net Mins,SMS,Data,Social Data,creation_date,expire_date,Consumed_On-net Mins,Consumed_Off-net Mins,Consumed_SMS,Consumed_Data,Consumed_Social Data
3000000001,1469,1739,30,3000,500,3000,51200,0,11/01/2024,10/02/2024,750,145,2726,35667,0
3000000001,1114,650,3,125,0,0,125,0,12/01/2024,15/01/2024,23,0,0,17,0
3000000001,1079,20,7,0,0,0,50,0,22/01/2024,29/01/2024,0,0,0,12,0
3000000001,1389,225,3,0,0,6000,0,0,26/02/2024,29/02/2024,0,0,3616,0,0
3000000001,1681,956,3,0,0,0,200,0,15/03/2024,18/03/2024,0,0,0,135,0
3000000001,1124,444,30,333,50,1000,1024,0,08/04/2024,08/05/2024,211,22,363,797,0
3000000001,1492,260,1,500,50,0,10240,0,26/04/2024,27/04/2024,53,5,0,4068,0
3000000001,1145,240,7,0,0,0,0,0,03/04/2024,10/04/2024,0,0,0,0,0
3000000001,1107,5030,3,2800,1200,1000,0,0,31/05/2024,03/06/2024,944,396,932,0,0
3000000001,1393,2750,3,0,500,0,7000,0,20/06/2024,23/06/2024,0,323,0,2093,0
3000000001,1154,140,7,0,0,0,3072,0,18/07/2024,25/07/2024,0,0,0,1677,0
3000000001,1454,222,7,5000,0,5000,5120,0,18/07/2024,25/07/2024,2758,0,3787,4421,0
3000000001,1569,1000,3,0,0,0,10240,0,11/08/2024,14/08/2024,0,0,0,10097,0
3000000001,2917,86,7,1000,200,0,10240,0,22/09/2024,29/09/2024,268,145,0,6638,0
3000000001,1400,20,3,0,0,1500,0,0,07/09/2024,10/09/2024,0,0,935,0,0
3000000001,1139,11.94,3,1440,0,1500,100,0,01/09/2024,04/09/2024,503,0,233,35,0
3000000001,2899,200,3,0,0,0,0,0,01/10/2024,04/10/2024,0,0,0,0,0
3000000001,1099,300,30,0,0,0,0,0,15/11/2024,15/12/2024,0,0,0,0,0
3000000001,1479,260,30,0,0,0,8192,0,10/11/2024,10/12/2024,0,0,0,1359,0
3000000001,1134,600,30,2000,150,2000,2000,0,08/11/2024,08/12/2024,525,68,1533,1300,0
3000000001,1071,42,7,0,0,0,1024,0,08/12/2024,15/12/2024,0,0,0,349,0
3000000001,3538,478,7,1000,150,1000,35433480192,0,09/12/2024,16/12/2024,175,55,193,31694560580,0
3000000002,1130,13,3,300,0,300,20,0,06/01/2024,09/01/2024,258,0,216,12,0
3000000002,1065,304,30,0,0,1000,10240,0,12/02/2024,13/03/2024,0,0,806,7324,0
3000000002,3412,20,1,120,5,120,500,0,05/03/2024,06/03/2024,115,2,80,189,0
3000000002,1513,600,30,0,0,1000,1024,0,25/03/2024,24/04/2024,0,0,876,774,0
3000000002,2374,700,7,0,0,0,5000,0,04/03/2024,11/03/2024,0,0,0,2645,0
3000000002,1512,999,1,0,0,5000,15360,0,09/04/2024,10/04/2024,0,0,990,1137,0
3000000002,1398,350,30,0,0,0,1000,0,02/04/2024,02/05/2024,0,0,0,547,0
3000000002,1144,200,1,0,0,0,7168,0,19/05/2024,20/05/2024,0,0,0,6499,0
3000000002,1140,23.9,1,0,0,0,0,0,28/06/2024,29/06/2024,0,0,0,0,0
3000000002,1509,1000,7,0,0,2000,5120,0,12/06/2024,19/06/2024,0,0,752,2884,0
3000000002,1480,2608.69,1,0,0,0,184320,0,19/07/2024,20/07/2024,0,0,0,145912,0
